id,name,address
0,Southeast Alabama Medical Center,"1108 Ross Clark Circle, Dothan, AL, 36301"
1,Marshall Medical Center South,"2505 U S Highway 431 North, Boaz, AL, 35957"
2,Eliza Coffee Memorial Hospital,"205 Marengo Street, Florence, AL, 35631"
3,Mizell Memorial Hospital,"702 N Main St, Opp, AL, 36467"
4,Crenshaw Community Hospital,"101 Hospital Circle, Luverne, AL, 36049"
5,St Vincent's East,"50 Medical Park East Drive, Birmingham, AL, 35235"
6,Dekalb Regional Medical Center,"200 Med Center Drive, Fort Payne, AL, 35968"
7,Shelby Baptist Medical Center,"1000 First Street North, Alabaster, AL, 35007"
8,Callahan Eye Hospital,"1720 University Blvd, Birmingham, AL, 35233"
9,Helen Keller Memorial Hospital,"1300 South Montgomery Avenue, Sheffield, AL, 35660"
10,Dale Medical Center,"126 Hospital Ave, Ozark, AL, 36360"
11,Cherokee Medical Center,"400 Northwood Dr, Centre, AL, 35960"
12,Baptist Medical Center South,"2105 East South Boulevard, Montgomery, AL, 36116"
13,Jackson Hospital & Clinic Inc,"1725 Pine Street, Montgomery, AL, 36106"
14,East Alabama Medical Center,"2000 Pepperell Parkway, Opelika, AL, 36801"
15,Wedowee Hospital,"209 North Main Street, Wedowee, AL, 36278"
16,University Of Alabama Hospital,"619 South 19th Street, Birmingham, AL, 35233"
17,Community Hospital Inc,"805 Friendship Road, Tallassee, AL, 36078"
18,Cullman Regional Medical Center,"1912 Alabama Highway 157, Cullman, AL, 35058"
19,Andalusia Regional Hospital,"849 South Three Notch Street, Andalusia, AL, 36420"
20,Stringfellow Memorial Hospital,"301 East 18th St, Anniston, AL, 36201"
21,Huntsville Hospital,"101 Sivley Rd, Huntsville, AL, 35801"
22,Gadsden Regional Medical Center,"1007 Goodyear Avenue, Gadsden, AL, 35903"
23,Marion Regional Medical Center,"1256 Military Street South, Hamilton, AL, 35570"
24,Fayette Medical Center,"1653 Temple Avenue North, Fayette, AL, 35555"
25,Riverview Regional Medical Center,"600 South Third Street, Gadsden, AL, 35901"
26,Georgiana Medical Center,"515 N Miranda Avenue, Georgiana, AL, 36033"
27,Medical Center Enterprise,"400 N Edwards Street, Enterprise, AL, 36330"
28,Greene County Hospital,"509 Wilson Avenue, Eutaw, AL, 35462"
29,Lake Martin Community Hospital,"201 Mariarden Road, Dadeville, AL, 36853"
30,Flowers Hospital,"4370 West Main Street, Dothan, AL, 36305"
31,St Vincent's Birmingham,"810 St Vincent's Drive, Birmingham, AL, 35205"
32,Bibb Medical Center,"208 Pierson Ave, Centreville, AL, 35042"
33,Lawrence Medical Center,"202 Hospital Street, Moulton, AL, 35650"
34,Highlands Medical Center,"380 Woods Cove Road, Scottsboro, AL, 35768"
35,Wiregrass Medical Center,"1200 W Maple Avenue, Geneva, AL, 36340"
36,Russell Hospital,"3316 Highway 280, Alexander City, AL, 35010"
37,Medical Center Barbour,"820 W Washington St, Eufaula, AL, 36027"
38,Clay County Hospital,"83825 Highway 9    P O Box 1270, Ashland, AL, 36251"
39,Northeast Alabama Regional Medical Center,"400 East 10th Street, Anniston, AL, 36207"
40,Athens Limestone Hospital,"700 West Market Street, Athens, AL, 35611"
41,South Baldwin Regional Medical Center,"1613 North Mckenzie Street, Foley, AL, 36535"
42,Decatur Morgan Hospital-decatur Campus,"1201 7th Street Se, Decatur, AL, 35601"
43,Northwest Medical Center,"1530 U S Highway 43, Winfield, AL, 35594"
44,University Of South Alabama Medical Center,"2451 Fillingim Street, Mobile, AL, 36617"
45,Walker Baptist Medical Center,"3400 Highway 78 East, Jasper, AL, 35502"
46,Providence Hospital,"6801 Airport Boulevard, Mobile, AL, 36608"
47,Grove Hill Memorial Hospital,"295 Jackson Hwy S, Grove Hill, AL, 36451"
48,D C H Regional Medical Center,"809 University Boulevard East, Tuscaloosa, AL, 35401"
49,Hale County Hospital,"508 Green Street, Greensboro, AL, 36744"
50,Elmore Community Hospital,"500 Hospital Drive, Wetumpka, AL, 36092"
51,D W Mcmillan Memorial Hospital,"1301 Belleville Avenue, Brewton, AL, 36426"
52,Thomas Hospital,"750 Morphy Avenue, Fairhope, AL, 36532"
53,Citizens Baptist Medical Center,"604 Stone Avenue, Talladega, AL, 35161"
54,J Paul Jones Hospital,"317 Mcwilliams Avenue, Camden, AL, 36726"
55,Princeton Baptist Medical Center,"701 Princeton Avenue Southwest, Birmingham, AL, 35211"
56,Grandview Medical Center,"3690 Grandview Parkway, Birmingham, AL, 35243"
57,Prattville Baptist Hospital,"124 S Memorial Dr, Prattville, AL, 36067"
58,Pickens County Medical Center,"241 Robert K Wilson Drive, Carrollton, AL, 35447"
59,Bullock County Hospital,"102 West Conecuh Avenue, Union Springs, AL, 36089"
60,Bryan W. Whitfield Memorial Hospital,"105 Highway 80 East, Demopolis, AL, 36732"
61,Mobile Infirmary Medical Center,"5 Mobile Infirmary Circle, Mobile, AL, 36652"
62,"Medical West, An Affiliate Of Uab Health System","995 9th Avenue Southwest, Bessemer, AL, 35021"
63,Vaughan Regional Medical Center Parkway Campus,"1015 Medical Center Parkway, Selma, AL, 36701"
64,Monroe County Hospital,"2016 South Alabama Avenue, Box 886, Monroeville, AL, 36460"
65,Lakeland Community Hospital,"42024 Highway 195 E, Haleyville, AL, 35565"
66,Troy Regional Medical Center,"1330 Highway 231 South, Troy, AL, 36081"
67,Jackson Medical Center,"220 Hospital Drive, Jackson, AL, 36545"
68,North Baldwin Infirmary,"1815 Hand Avenue, Bay Minette, AL, 36507"
69,St Vincent's St Clair,"7063 Veterans Parkway, Pell City, AL, 35125"
70,Crestwood Medical Center,"One Hospital Dr Se, Huntsville, AL, 35801"
71,Hill Hospital Of Sumter County,"751 Derby Drive, York, AL, 36925"
72,Brookwood Medical Center,"2010 Brookwood Medical Center Drive, Birmingham, AL, 35209"
73,Springhill Memorial Hospital,"3719 Dauphin Street, Mobile, AL, 36608"
74,Rmc Jacksonville,"1701 South Pelham Road, Jacksonville, AL, 36265"
75,Evergreen Medical Center,"101 Crestview Avenue, Evergreen, AL, 36401"
76,Baptist Medical Center East,"400 Taylor Road, Montgomery, AL, 36117"
77,L V Stabler Memorial Hospital,"29 L V Stabler Drive, Greenville, AL, 36037"
78,Shoals Hospital,"201 West Avalon Avenue, Muscle Shoals, AL, 35661"
79,Russellville Hospital,"15155 Highway 43, Russellville, AL, 35653"
80,Coosa Valley Medical Center,"315 W Hickory St, Sylacauga, AL, 35150"
81,Jack Hughston Memorial Hospital,"4401 River Chase Drive, Phenix City, AL, 36867"
82,Atmore Community Hospital,"401 Medical Park Drive, Atmore, AL, 36502"
83,North Alabama Speciality Hospital,"700 West Market Street, 2nd Floor, Athens, AL, 35611"
84,Washington County Hospital,"14600 St. Stephens Avenue, Chatom, AL, 36518"
85,Red Bay Hospital,"211 Hospital Road, Red Bay, AL, 35582"
86,Choctaw General Hospital,"401 Vanity Fair Lane, Po Box 618, Butler, AL, 36904"
87,St Vincents Blount,"150 Gilbreath Drive, Oneonta, AL, 35121"
88,Children's Hospital Of Alabama,"1600 Seventh Avenue South, Birmingham, AL, 35233"
89,University Of S A Children's And Women's Hos,"1700 Center Street, Mobile, AL, 36604"
90,Providence Alaska Medical Center,"3200 Providence Drive, Anchorage, AK, 99508"
91,Mat-su Regional Medical Center,"2500 South Woodworth Loop, Palmer, AK, 99645"
92,Bartlett Regional Hospital,"3260 Hospital Dr, Juneau, AK, 99801"
93,Fairbanks Memorial Hospital,"1650 Cowles Street, Fairbanks, AK, 99701"
94,Alaska Regional Hospital,"2801 Debarr Road, Anchorage, AK, 99508"
95,Yukon Kuskokwim Delta Reg Hospital,"Po Box 287, Bethel, AK, 99559"
96,Alaska Native Medical Center,"4315 Diplomacy Dr, Anchorage, AK, 99508"
97,Sitka Community Hospital,"209 Moller Drive, Sitka, AK, 99835"
98,Providence Kodiak Island Medical Ctr,"1915 East Rezanof Drive, Kodiak, AK, 99615"
99,Norton Sound Regional Hospital,"1000 Greg Kruschek Avenue (p O Box 966), Nome, AK, 99762"
100,Kanakanak Hospital,"P O Box 130, Dillingham, AK, 99576"
101,Maniilaq Health Center,"Po Box 43, Kotzebue, AK, 99752"
102,Peacehealth Ketchikan Medical Center,"3100 Tongass Avenue, Ketchikan, AK, 99901"
103,Mt Edgecumbe Hospital,"222 Tongass Dr, Sitka, AK, 99835"
104,Abrazo Maryvale Campus,"5102 West Campbell Avenue, Phoenix, AZ, 85031"
105,Banner - University Medical Center Phoenix,"1111 East Mcdowell Road, Phoenix, AZ, 85006"
106,Tucson Medical Center,"5301 East Grant Road, Tucson, AZ, 85712"
107,Verde Valley Medical Center,"269 South Candy Lane, Cottonwood, AZ, 86326"
108,St. Mary's Hospital,"1601 West St Mary's Road, Tucson, AZ, 85745"
109,St Joseph's Hospital,"350 North Wilmot Road, Tucson, AZ, 85711"
110,Yavapai Regional Medical Center,"1003 Willow Creek Road, Prescott, AZ, 86301"
111,Yuma Regional Medical Center,"2400 South Avenue A, Yuma, AZ, 85364"
112,John C. Lincoln Medical Center,"250 East Dunlap Avenue, Phoenix, AZ, 85020"
113,Banner Casa Grande Medical Center,"1800 East Florence Boulevard, Casa Grande, AZ, 85222"
114,Maricopa Medical Center,"2601 East Roosevelt Street, Phoenix, AZ, 85008"
115,Flagstaff Medical Center,"1200 North Beaver Street, Flagstaff, AZ, 86001"
116,St. Joseph's Hospital And Medical Center,"350 West Thomas Road, Phoenix, AZ, 85013"
117,Abrazo Central Campus,"2000 West Bethany Home Road, Phoenix, AZ, 85015"
118,Banner Payson Medical Center,"807 South Ponderosa Drive, Payson, AZ, 85541"
119,Chandler Regional Medical Center,"1955 West Frye Road, Chandler, AZ, 85224"
120,St Luke's Medical Center,"1800 East Van Buren Street, Phoenix, AZ, 85006"
121,Scottsdale Osborn Medical Center,"7400 East Osborn Road, Scottsdale, AZ, 85251"
122,Canyon Vista Medical Center,"5700 East Highway 90, Sierra Vista, AZ, 85635"
123,Kingman Regional Medical Center,"3269 Stockton Hill Road, Kingman, AZ, 86409"
124,Banner Boswell Medical Center,"10401 West Thunderbird Boulevard, Sun City, AZ, 85351"
125,Summit Healthcare Regional Medical Center,"2200 East Show Low Lake Road, Show Low, AZ, 85901"
126,Banner-university Medical Center Tucson Campus,"1501 North Campbell Avenue, Tucson, AZ, 85724"
127,Banner Desert Medical Center,"1400 South  Dobson Road, Mesa, AZ, 85202"
128,Mt. Graham Regional Medical Center,"1600 South 20th Avenue, Safford, AZ, 85546"
129,Havasu Regional Medical Center,"101 Civic Center Lane, Lake Havasu City, AZ, 86403"
130,Fort Defiance Indian Hospital,"Po Box 649, Fort Defiance, AZ, 86504"
131,Tuba City Regional Health Care Corporation,"Po Box 600, Tuba City, AZ, 86045"
132,Sells Hospital,"Highway 86, At Topawa Road, Sells, AZ, 85634"
133,San Carlos Apache Healthcare,"103 Medicine Way Road, Peridot, AZ, 85542"
134,Phoenix Indian Medical Center,"4212 North 16th Street, Phoenix, AZ, 85016"
135,Abrazo Scottsdale Campus,"3929 East Bell Road, Phoenix, AZ, 85032"
136,Chinle Comprehensive Health Care Facility,"Us Hwy 191, Hospital Road, Chinle, AZ, 86503"
137,Northwest Medical Center,"6200 North La Cholla Boulevard, Tucson, AZ, 85741"
138,Scottsdale Shea Medical Center,"9003 East Shea Boulevard, Scottsdale, AZ, 85260"
139,Banner Baywood Medical Center,"6644 East Baywood Avenue, Mesa, AZ, 85206"
140,Banner Thunderbird Medical Center,"5555 West Thunderbird Road, Glendale, AZ, 85306"
141,Honorhealth Deer Valley Medical Center,"19829 North 27th Avenue, Phoenix, AZ, 85027"
142,Banner Del E. Webb Medical Center,"14502 West Meeker Boulevard, Sun City West, AZ, 85375"
143,Abrazo Arrowhead Campus,"18701 North 67th Avenue, Glendale, AZ, 85308"
